IQ,CGPA,Communication_Skills,Projects_Completed
85,7.42,2,2
91,10.17,8,0
101,9.07,10,4
92,6.92,8,4
76,8.66,2,1
101,6.96,7,1
84,7.3,8,3
107,5.59,4,1
86,8.5,3,1
123,5.45,10,1
88,9.5,9,3
95,9.16,2,0
112,6.19,3,5
81,6.41,8,2
103,7.22,2,0
119,8.28,5,5
75,6.39,10,5
102,7.62,8,0
103,6.08,7,0
111,5.25,4,4
81,4.97,10,2
80,5.66,9,2
107,8.93,2,4
104,9.45,7,5
103,7.14,7,4
105,7.97,7,5
89,5.39,7,1
103,7.95,5,4
104,5.81,1,3
89,8.31,4,4
127,9.32,5,1
107,6.42,10,4
82,8.94,4,3
109,5.47,7,4
85,6.63,2,5
111,5.79,2,0
117,7.04,2,2
87,5.77,10,3
114,6.75,3,3
106,7.25,5,3
112,6.09,10,5
128,8.52,9,0
96,9.13,3,0
88,6.69,6,2
86,6.12,6,1
87,5.95,6,2
98,9.74,5,3
105,8.23,2,3
104,7.41,1,3
112,6.07,5,2
100,7.64,8,1
121,6.15,10,1
96,10.07,5,2
140,9.11,3,5
109,5.33,3,3
87,7.64,2,2
83,6.34,7,2
107,6.58,2,4
96,9.17,6,4
110,7.75,8,0
107,6.53,8,0
98,6.32,2,2
87,9.15,6,4
77,7.85,3,3
93,6.99,9,0
112,6.22,3,3
103,6.62,1,3
81,9.47,9,0
102,7.43,8,5
105,6.8,2,2
86,7.22,10,4
102,8.94,10,0
100,6.96,3,1
82,5.97,7,1
105,8.25,6,3
108,7.96,8,1
116,8.5,10,3
115,9.52,5,5
79,7.04,5,5
85,5.58,2,5
107,10.02,6,5
107,7.33,5,5
107,7.71,9,4
157,8.53,3,0
108,7.95,5,0
117,6.52,3,4
114,8.97,9,3
109,9.21,9,5
95,7.77,10,2
111,7.81,7,1
88,6.07,1,5
96,5.7,9,4
92,6.81,9,1
101,6.13,10,2
134,10.0,5,3
71,9.13,2,5
110,8.58,1,1
75,7.21,2,3
92,5.99,4,5
116,9.69,4,2
100,7.14,1,3
83,5.27,8,2
89,7.65,10,0
110,9.16,8,1
89,8.95,8,1
103,5.18,5,2
100,9.04,10,2
90,6.52,2,4
132,5.62,4,2
109,9.71,1,2
69,9.06,10,3
102,8.29,1,3
90,7.72,10,1
112,9.47,3,3
88,9.22,4,3
98,9.02,3,1
107,7.67,3,5
112,9.68,8,0
81,10.27,4,4
94,5.49,3,3
92,9.43,9,0
90,7.6,1,4
126,7.42,8,1
106,8.51,5,3
81,5.21,8,5
113,7.75,10,3
131,9.68,3,2
115,6.47,6,3
77,6.7,7,3
92,9.5,8,0
119,6.96,7,0
89,6.72,7,3
106,6.87,2,5
111,7.6,3,4
86,8.32,6,1
99,9.0,3,5
51,7.43,9,0
84,8.66,9,5
96,8.05,6,5
81,7.13,1,4
124,8.41,1,5
78,8.97,4,3
93,7.42,10,2
101,5.58,8,0
121,5.47,3,5
78,6.34,4,0
117,6.23,6,2
100,8.46,9,3
85,4.89,4,0
106,8.92,3,3
102,6.2,10,4
90,6.91,10,0
101,7.77,9,3
94,5.8,7,4
101,9.26,9,5
109,5.78,10,0
123,7.11,6,1
81,9.29,4,3
131,8.23,5,4
70,6.31,10,5
97,6.89,2,1
108,8.51,3,3
104,9.58,5,0
90,9.25,3,5
96,6.27,3,3
92,9.79,9,4
91,4.84,4,0
112,5.6,4,0
105,9.21,1,5
89,6.29,7,0
113,4.85,10,2
104,5.8,9,4
112,7.44,8,1
109,8.77,2,0
87,7.81,6,4
91,6.09,10,2
111,7.56,10,2
109,9.97,5,5
99,8.64,8,0
101,6.72,1,4
119,10.13,9,2
91,9.02,9,0
108,5.62,7,5
96,4.96,8,3
96,6.05,9,3
116,8.9,5,3
112,6.15,2,1
112,7.88,1,4
119,5.87,5,5
100,9.2,8,3
110,6.32,10,2
95,9.84,4,1
104,9.47,4,3
98,4.59,4,0
101,7.22,8,2
108,5.44,7,1
87,9.17,1,1
131,7.76,10,2
84,4.87,6,3
81,5.16,4,5
117,6.77,2,5
111,9.28,3,0
109,8.81,4,0
109,9.7,10,5
99,7.09,7,5
86,4.96,1,0
101,9.89,1,1
89,4.77,3,3
114,9.52,2,5
97,6.86,3,5
87,5.29,3,2
95,8.04,1,4
106,9.7,6,0
91,10.26,8,2
87,5.73,5,5
103,6.35,1,5
103,8.32,10,2
92,8.22,7,5
92,8.49,10,0
103,6.2,9,4
78,9.46,7,1
78,7.94,9,1
89,9.52,10,3
96,7.63,9,5
104,6.77,2,1
122,10.04,8,2
112,8.14,7,1
97,8.96,7,3
99,9.55,2,2
84,8.1,1,2
99,7.62,4,4
95,5.28,7,5
104,5.41,6,0
87,6.16,10,0
107,5.44,2,0
122,5.91,7,3
98,6.24,10,1
106,6.57,9,0
110,6.75,2,1
93,5.4,10,0
103,4.79,5,4
100,8.62,2,1
101,7.98,1,3
88,7.29,7,5
100,7.76,2,5
107,9.53,6,3
121,7.61,7,1
114,7.91,1,5
132,9.97,9,3
88,9.54,6,2
113,7.17,2,3
102,8.04,1,4
132,5.87,1,4
87,7.81,2,1
87,9.81,9,3
91,8.02,2,1
68,9.88,1,0
92,6.78,4,2
88,10.08,9,1
102,8.09,8,1
105,4.85,7,1
128,7.79,8,5
114,6.78,2,1
91,5.23,5,5
86,8.82,7,4
107,6.0,1,2
80,9.0,6,0
127,6.49,7,2
117,5.8,8,1
92,10.0,5,4
74,6.38,8,0
120,7.66,10,5
98,8.1,1,1
118,7.36,4,5
76,9.95,6,1
91,8.01,4,3
100,7.19,5,2
100,9.2,2,2
93,5.81,7,2
109,7.98,9,3
83,9.75,7,4
97,8.36,1,4
101,9.09,2,4
107,8.36,8,5
110,9.46,1,0
83,9.83,2,3
76,6.48,5,3
119,6.14,6,4
104,7.87,1,4
88,8.39,1,4
123,6.22,2,3
101,4.61,3,4
117,6.57,9,2
101,9.75,3,4
130,8.81,8,2
126,7.02,6,1
96,6.19,10,1
114,6.3,5,3
109,5.81,9,0
120,5.93,8,5
85,9.25,3,1
110,9.52,7,3
115,5.75,4,3
73,5.47,8,2
82,6.6,7,2
69,7.27,3,4
95,6.19,7,5
110,6.26,6,1
122,6.25,6,2
101,8.52,10,0
124,8.46,3,5
79,8.33,4,3
74,7.27,4,5
99,9.84,6,4
105,10.07,9,2
99,5.73,5,2
68,5.74,8,2
98,7.35,5,5
80,5.82,6,1
110,7.54,6,5
105,8.36,4,2
85,7.19,10,5
92,6.69,10,3
84,7.86,5,2
99,10.0,4,5
114,6.17,2,0
85,8.54,2,2
107,5.08,8,4
92,5.01,4,4
88,7.46,9,0
98,5.03,6,4
84,4.96,5,1
91,5.45,7,3
82,7.64,6,3
129,8.65,4,1
100,6.4,10,4
89,8.68,9,0
103,5.66,6,0
98,7.7,3,3
96,6.75,4,5
109,8.74,4,0
111,10.03,8,1
92,9.37,5,3
91,5.36,8,2
95,9.33,8,1
65,5.73,6,1
77,9.53,5,0
120,6.3,2,5
124,6.91,1,0
96,5.85,7,0
108,5.93,10,2
104,8.7,10,1
146,9.44,7,4
116,7.95,2,3
98,9.06,3,0
85,8.92,8,0
75,6.59,4,1
103,5.18,5,2
88,5.04,7,0
78,6.68,8,2
90,6.41,1,2
83,5.66,7,4
125,5.91,3,2
113,5.6,5,4
99,9.41,1,3
122,5.38,3,2
101,8.13,5,3
87,7.79,1,2
122,8.02,2,4
108,5.72,3,4
84,6.88,8,3
97,5.7,5,1
86,7.1,5,1
79,6.34,3,1
113,7.48,9,2
128,8.59,9,1
79,7.93,2,3
108,6.94,8,1
90,7.18,1,3
92,9.49,5,3
91,6.43,7,5
87,8.48,8,2
100,8.97,8,5
87,6.9,6,4
104,6.73,7,2
99,7.31,4,2
96,5.57,10,0
86,5.15,7,1
91,5.22,7,1
111,5.62,9,3
107,7.1,2,4
85,9.37,8,5
101,6.53,9,1
111,9.2,3,1
74,9.34,8,4
108,9.75,1,1
90,9.43,10,0
108,6.48,5,1
88,5.13,1,0
72,7.57,1,2
75,7.69,6,2
100,8.97,5,0
103,9.83,5,5
86,7.77,2,5
109,6.84,10,3
75,5.51,9,0
99,5.16,5,3
81,7.53,3,4
90,8.21,7,4
100,8.91,6,0
87,7.75,6,3
94,9.81,5,2
115,7.86,4,0
91,9.6,6,0
112,5.73,7,3
83,9.46,8,4
107,8.03,2,5
121,5.61,4,2
62,6.04,7,3
88,9.45,3,3
108,5.16,5,2
96,7.18,10,5
105,6.71,7,5
90,8.32,9,0
101,8.7,6,0
97,6.95,2,1
117,7.05,9,2
103,9.75,6,3
105,8.51,10,1
93,9.21,2,1
92,6.91,1,1
93,6.61,4,0
105,6.99,2,4
93,8.12,7,1
104,5.19,7,3
131,5.93,3,5
113,5.32,10,0
95,6.85,1,5
118,9.14,2,4
93,4.99,8,4
69,8.68,4,1
84,9.48,3,1
71,6.14,10,0
94,8.69,7,1
100,9.81,10,0
125,10.1,4,4
104,6.33,2,3
96,5.41,3,3
112,5.74,4,2
66,8.98,1,5
103,8.79,8,2
111,8.77,8,2
77,6.36,5,3
117,5.83,6,1
105,8.31,4,0
93,7.24,3,3
109,9.11,3,2
134,6.81,4,2
102,7.09,6,5
103,6.42,2,1
93,5.63,6,2
87,6.71,8,2
112,5.22,9,0
87,6.25,4,1
101,4.82,5,4
92,6.09,8,4
107,9.21,10,2
105,6.24,2,2
115,8.3,10,0
92,8.26,2,4
95,8.16,9,1
85,9.41,6,1
93,4.85,10,3
105,8.39,9,5
111,9.84,10,3
86,9.68,7,1
113,5.85,5,3
120,6.19,9,5
106,5.92,9,5
128,8.31,2,0
88,8.19,8,2
81,6.16,8,1
73,7.39,2,4
122,8.7,10,4
109,7.2,7,1
99,9.31,1,3
104,8.61,5,3
83,5.15,5,1
136,8.58,10,1
101,5.92,5,1
101,8.19,2,0
110,9.86,3,4
107,9.02,6,0
103,6.99,1,5
88,6.91,6,0
107,6.09,6,2
128,8.02,7,0
120,5.33,9,5
123,7.82,9,4
92,5.35,4,3
85,7.04,2,4
98,6.09,5,1
100,10.0,1,5
116,8.14,5,1
74,6.5,10,1
122,5.24,3,0
97,7.17,7,5
93,5.85,7,2
84,7.5,3,3
75,9.65,5,0
112,8.25,9,1
101,8.1,4,4
80,8.2,2,1
80,9.29,3,4
94,9.64,1,3
125,7.71,5,1
96,6.09,9,5
77,7.52,2,5
96,5.53,3,3
95,7.82,3,1
59,7.16,7,1
99,5.95,10,4
96,6.17,7,2
110,7.56,1,5
127,9.5,3,4
116,7.62,1,0
95,8.53,9,3
83,6.61,7,3
138,7.51,5,2
100,7.43,7,1
100,7.93,3,3
99,4.94,3,2
102,7.79,1,0
97,6.64,5,3
91,6.76,7,0
91,9.72,3,5
99,5.81,5,4
91,6.75,10,3
89,7.79,1,3
101,9.33,7,1
96,7.55,8,0
122,9.18,8,4
60,9.19,1,2
116,6.87,4,4
118,7.0,9,3
68,6.79,2,5
94,8.71,1,0
94,5.29,6,3
78,6.94,1,2
88,8.68,6,2
83,8.12,1,3
126,6.84,6,5
114,7.56,9,3
119,5.72,5,3
110,6.97,4,0
83,7.59,8,1
92,9.37,4,2
107,6.36,4,0
81,9.28,9,2
110,8.01,1,3
96,4.7,3,2
94,9.01,4,5
110,4.69,8,5
106,9.49,1,5
94,9.69,3,4
117,6.99,2,2
83,6.52,6,5
109,6.43,9,4
108,6.51,10,0
95,7.33,9,0
104,6.9,10,5
81,8.18,5,4
113,5.56,3,2
97,8.74,8,5
92,8.58,9,0
115,7.49,9,2
89,8.78,1,1
78,6.73,10,5
76,4.77,5,1
109,8.31,10,5
80,6.95,9,4
126,7.88,3,4
68,9.08,7,2
125,10.12,9,1
103,8.25,2,1
98,8.41,2,4
91,5.77,5,3
105,5.85,8,2
99,9.09,10,2
116,7.58,5,0
101,7.65,8,4
102,6.12,4,0
94,7.66,9,3
99,6.42,4,0
104,8.12,5,3
74,5.61,7,0
79,5.59,9,4
111,6.41,5,3
102,6.39,7,2
97,9.78,4,4
100,5.55,2,4
105,5.65,2,5
91,7.64,5,1
88,7.32,2,2
102,5.22,2,0
85,4.71,2,4
106,9.89,4,0
74,8.3,8,4
115,6.86,7,2
107,7.67,5,4
103,6.35,7,0
114,6.45,6,0
124,8.41,8,2
115,9.71,8,0
72,5.74,7,3
80,9.35,5,4
90,5.26,6,3
100,5.91,10,1
107,5.6,8,1
89,6.11,7,5
102,9.67,5,5
88,7.5,10,4
90,5.74,8,0
78,10.26,4,2
86,9.38,6,1
79,8.83,4,0
85,9.59,5,5
115,5.67,10,2
85,9.1,3,4
139,8.74,2,0
107,9.65,1,3
102,9.37,3,4
87,6.28,1,1
110,8.9,6,4
91,5.92,2,4
101,6.34,3,2
138,5.94,8,1
98,9.68,5,5
117,6.72,2,2
89,7.16,2,4
99,6.88,3,0
126,9.97,3,3
90,6.31,8,3
127,8.72,5,2
110,8.84,8,0
91,7.33,4,3
109,7.36,9,0
114,9.07,3,5
109,10.03,2,5
76,9.12,6,2
89,6.5,4,1
96,9.52,2,0
98,6.96,6,0
109,7.79,4,1
102,9.48,10,4
79,5.62,4,4
105,8.48,10,4
109,8.43,4,2
108,8.97,4,4
116,6.34,8,2
112,7.33,1,1
106,8.99,9,0
98,5.3,3,3
75,5.88,5,3
106,9.7,5,2
103,6.67,4,2
104,10.18,4,5
80,5.66,7,0
83,6.35,4,1
115,8.46,10,0
99,7.99,3,5
110,7.48,9,2
100,7.88,4,0
100,9.1,4,2
114,6.55,10,3
92,6.96,8,0
101,5.73,7,1
93,8.12,4,3
93,6.63,8,1
95,6.69,10,1
103,7.23,2,2
92,5.5,9,1
118,5.27,2,5
86,8.01,10,4
97,7.09,3,1
93,9.61,6,0
121,8.0,7,5
102,5.13,9,2
115,8.17,8,2
77,5.9,6,5
104,8.69,8,4
113,9.74,5,2
101,7.6,10,2
115,8.27,10,3
92,6.43,9,3
121,7.33,4,3
134,9.54,1,4
94,6.16,8,5
93,6.75,5,2
121,7.16,9,2
123,9.04,3,2
92,6.6,9,1
93,9.85,8,2
95,5.5,6,2
79,7.17,10,5
86,8.52,10,0
84,6.41,8,0
88,8.71,8,2
99,6.05,7,1
103,5.56,7,1
123,5.18,3,4
85,9.35,7,4
114,8.23,3,5
96,9.17,9,2
99,6.72,5,3
110,7.83,8,1
83,7.01,3,3
105,9.6,3,4
102,8.74,3,1
107,8.36,8,3
104,4.9,9,2
136,7.76,7,3
90,7.42,1,4
92,9.38,6,1
90,6.38,3,1
91,6.75,1,1
90,7.03,10,2
117,6.58,2,1
121,6.08,3,3
91,8.88,7,0
87,7.39,6,5
107,9.29,2,5
91,9.25,5,0
109,6.34,1,5
103,7.57,3,2
77,5.56,1,3
123,9.08,3,5
126,7.49,2,2
90,6.7,4,0
94,6.93,5,5
104,6.91,3,1
105,6.0,10,0
109,6.6,5,0
130,9.5,7,0
97,8.67,10,2
88,6.66,9,4
79,7.72,8,2
89,9.54,6,4
99,5.12,9,2
126,9.91,8,5
92,6.49,4,5
103,8.32,2,5
99,7.98,9,0
117,8.23,6,1
137,9.78,10,3
92,5.46,8,4
92,7.09,8,2
115,7.49,4,5
110,8.93,10,1
127,5.74,5,3
108,8.72,1,1
94,7.16,9,5
108,5.95,7,4
116,8.52,1,4
112,5.35,10,3
107,7.44,10,3
116,5.81,3,5
117,7.13,9,5
120,7.9,1,4
109,8.19,6,4
97,6.86,5,0
102,7.32,4,3
118,6.6,1,3
87,7.17,7,4
105,9.95,1,2
94,9.05,1,0
100,5.5,2,2
119,5.22,9,4
102,10.15,1,0
100,7.58,8,0
79,8.13,1,4
111,9.31,1,5
109,6.32,9,1
132,7.31,8,1
95,9.98,1,3
103,8.38,7,4
103,5.37,8,5
123,6.16,2,4
98,6.27,4,5
104,8.77,2,2
109,6.6,6,4
102,4.7,5,1
93,9.72,5,5
102,6.28,8,4
116,5.45,1,2
84,6.03,10,3
101,6.21,2,5
89,7.31,1,0
117,9.44,4,5
77,8.96,2,3
91,7.29,10,2
105,7.15,7,4
123,7.29,5,1
99,5.82,5,5
91,4.97,1,4
128,9.55,2,5
78,5.97,5,0
67,5.78,7,1
106,7.14,1,3
92,7.83,7,5
84,4.74,2,2
110,5.74,2,3
103,7.34,9,0
91,8.55,8,5
80,6.36,10,0
113,7.05,4,4
109,7.31,5,4
98,9.59,9,5
127,6.76,4,4
83,5.28,10,0
77,7.41,8,1
89,9.15,5,5
99,5.26,1,3
103,7.08,7,3
96,5.05,10,2
105,5.48,3,2
81,7.73,7,1
121,6.75,8,4
98,9.1,4,4
116,7.58,6,1
105,7.12,10,3
106,7.22,7,4
108,7.69,8,3
106,5.67,3,0
109,9.41,7,5
119,10.12,5,2
102,5.95,7,4
110,5.25,6,2
98,5.68,5,1
121,8.35,3,5
89,8.76,10,0
127,9.11,2,4
99,9.24,3,4
78,7.29,2,3
101,7.8,3,2
89,8.13,2,0
112,7.2,1,5
90,7.33,9,3
93,7.75,10,5
71,7.74,5,0
93,8.71,9,0
63,8.23,8,1
76,8.86,7,1
111,7.83,6,3
111,7.57,4,3
106,8.2,10,5
85,7.64,10,3
99,5.89,7,0
99,4.97,7,4
82,7.89,1,1
122,7.96,9,5
113,10.19,4,5
96,6.54,7,5
100,6.85,9,4
103,6.3,2,2
69,5.38,8,1
96,8.76,4,5
89,5.78,4,2
84,8.29,3,2
95,8.91,10,3
126,7.48,4,5
109,9.74,9,0
91,7.24,1,4
108,6.15,9,5
120,8.99,10,2
113,9.46,9,5
100,5.81,1,3
90,5.41,9,0
110,5.64,6,1
105,6.92,8,2
113,9.87,8,5
109,7.72,8,3
115,6.66,8,5
91,9.42,1,5
119,7.64,1,5
102,6.12,7,5
131,10.19,9,3
89,9.74,10,3
126,9.32,8,1
102,7.39,5,0
90,8.67,8,4
92,5.68,9,4
95,7.42,7,2
106,9.9,10,0
107,6.01,3,2
91,9.19,9,4
99,7.32,5,1
132,4.9,8,5
125,8.86,1,0
106,6.31,1,0
100,8.36,3,2
101,5.42,2,2
109,10.01,5,1
84,6.7,9,0
96,6.52,9,4
74,5.35,8,4
105,10.09,5,3
109,8.36,3,4
92,9.15,6,5
123,7.28,8,5
81,7.8,6,3
78,6.01,7,3
103,7.45,7,2
115,6.7,7,4
125,9.48,9,3
93,8.7,9,4
116,7.0,1,4
99,6.25,3,4
97,8.92,5,1
113,5.66,4,3
109,6.14,1,5
76,6.53,1,4
122,8.06,4,2
120,8.66,5,1
90,6.37,4,3
105,5.02,2,0
107,7.46,5,3
103,8.42,10,1
91,5.87,3,2
89,6.49,7,1
99,9.57,4,4
117,9.84,2,5
108,9.85,8,5
94,8.61,10,1
111,5.8,2,0
57,5.97,7,0
117,7.1,8,4
73,6.41,10,4
94,9.66,3,0
83,9.23,6,5
80,8.88,4,2
117,6.23,2,5
92,10.0,8,5
105,9.44,2,1
99,5.73,9,0
107,9.68,9,4
101,6.37,8,4
80,5.18,10,2
114,8.08,3,3
92,7.99,8,4
76,5.11,5,2
93,6.27,10,0
122,9.52,5,3
112,8.78,2,0
94,9.08,3,2
94,6.15,8,0
95,5.73,1,1
131,6.06,4,2
105,6.64,6,3
106,6.18,9,4
115,5.53,8,0
103,7.51,10,2
96,6.45,5,0
97,8.64,7,5
98,5.73,8,2
99,6.88,9,5
110,4.81,3,2
100,7.18,8,5
110,5.77,3,3
98,9.63,1,0
101,8.69,4,0
70,7.64,7,2
113,5.79,9,1
105,7.85,10,4
114,9.17,7,4
56,5.79,10,1
131,7.54,5,3
97,8.9,1,5
116,8.95,1,1
84,8.88,9,5
109,9.57,4,1
84,9.43,3,3
90,7.23,5,2
128,7.69,7,5
97,8.91,7,0
103,8.55,5,5
113,10.17,8,5
107,4.81,5,4
102,7.12,10,5
105,6.63,4,4
136,6.04,6,4
99,6.58,3,1
103,8.71,4,2
115,5.37,8,2
116,8.37,10,5
117,8.5,10,1
109,5.91,3,3
82,6.19,10,3
124,8.05,3,2
82,9.03,6,1
104,9.07,8,5
88,9.58,10,4
99,9.65,2,0
104,7.85,1,2
104,9.81,10,4
106,9.17,1,2
124,9.28,7,0
106,4.95,2,5
96,9.64,9,3
114,7.46,10,2
117,8.82,4,5
81,5.87,7,1
108,7.06,5,3
110,6.01,5,3
95,6.27,7,4
120,5.34,9,1
97,8.92,4,5
101,5.07,9,2
97,6.57,9,2
100,6.12,8,1
83,7.64,1,3
78,6.72,10,2
123,6.13,9,2
87,7.24,3,2
85,8.45,8,0
67,5.92,5,1
90,5.76,6,0
80,6.49,3,0
124,10.25,7,4
115,7.26,2,2
89,7.52,3,0
133,6.54,2,1
114,7.72,9,4
95,5.54,3,4
62,5.43,8,5
134,7.82,6,3
79,6.92,1,3
75,5.25,6,4
115,8.4,8,1
136,9.51,10,0
120,6.77,3,3
108,8.21,7,0
108,9.62,6,1
112,9.35,1,0
111,7.64,2,4
104,8.61,5,3
101,6.04,7,1
99,7.14,4,4
88,6.74,6,1
95,6.14,2,5
74,6.95,5,3
98,5.46,10,0
85,8.3,3,1
83,7.59,1,3
102,7.99,6,5
120,5.56,9,5
113,5.79,10,4
76,7.56,8,3
85,9.9,4,0
114,5.98,8,3
85,6.09,5,4
96,9.8,3,4
108,5.68,4,1
85,9.85,7,4
101,7.3,5,2
79,6.75,4,4
90,6.07,3,0
104,6.71,3,4
76,6.67,10,1
106,9.1,6,4
99,8.91,8,3
108,8.15,4,5
103,8.62,1,5
120,6.21,4,3
101,7.68,5,3
93,7.06,8,2
101,8.78,7,1
108,6.9,2,3
100,8.51,9,3
100,9.35,3,5
89,7.23,9,3
90,5.4,1,5
78,7.42,9,5
126,6.96,7,1
81,8.54,2,5
89,9.88,10,3
89,7.55,7,2
113,7.51,1,3
95,8.15,3,0
118,5.89,7,2
89,5.93,3,0
104,9.97,2,3
87,8.19,5,3
132,4.7,3,1
82,6.12,9,5
104,8.29,7,0
109,9.14,1,0
106,9.13,1,4
97,6.63,6,4
98,9.47,4,4
100,7.47,1,4
97,8.37,9,0
114,8.09,2,1
133,5.77,1,4
91,9.9,3,0
79,6.1,10,1
98,6.46,1,1
138,9.5,4,4
87,7.71,4,0
124,8.75,6,2
125,7.39,3,0
91,6.52,9,1
108,9.64,6,3
124,5.2,7,4
94,9.36,6,1
96,6.4,9,2
91,9.71,2,2
84,6.08,8,2
90,7.52,5,2
81,9.28,2,5
100,7.13,7,0
88,8.41,5,1
103,9.06,8,2
76,8.73,10,1
104,9.36,6,1
112,7.44,7,3
70,6.1,1,0
105,4.76,2,3
118,6.13,9,4
81,6.11,7,4
125,7.81,7,5
106,5.77,4,4
89,4.94,4,3
99,4.92,3,1
108,8.76,10,5
101,8.28,4,4
108,6.38,10,5
86,9.26,6,4
102,4.9,3,3
78,10.18,10,1
98,7.62,8,4
86,5.73,1,0
88,8.47,6,4
118,8.73,2,3
116,6.93,1,3
109,9.09,4,0
83,6.05,6,1
95,6.86,7,0
118,5.32,1,5
102,5.59,3,4
134,5.73,6,3
105,9.85,6,1
102,5.44,10,4
95,7.42,6,0
102,7.86,7,5
97,9.9,7,4
110,10.38,10,0
114,9.06,8,2
88,9.83,2,2
80,8.75,10,3
72,9.83,1,1
107,8.54,10,3
83,5.51,7,4
67,6.7,1,5
105,8.39,2,2
137,6.71,1,3
99,6.49,1,0
112,7.63,3,1
101,9.6,4,2
98,4.88,5,1
113,9.23,5,1
95,8.6,2,2
104,9.54,3,0
104,9.19,8,5
89,8.99,2,0
114,7.31,4,0
97,6.51,7,1
88,7.76,9,0
108,8.62,3,4
86,9.64,3,5
100,8.73,7,4
99,6.3,8,0
116,7.81,4,0
107,7.15,1,2
99,5.16,5,2
112,6.34,4,3
120,5.14,8,1
108,9.06,7,1
100,6.53,2,2
80,6.58,6,4
84,9.49,4,3
95,6.76,7,2
90,4.81,9,5
97,6.53,7,5
100,5.44,2,3
107,5.32,8,1
98,5.1,6,5
107,7.88,9,1
100,5.65,7,5
70,7.27,5,1
85,8.96,8,4
97,7.53,7,2
81,9.51,1,5
108,7.37,5,5
122,6.72,7,5
118,8.89,10,3
96,5.56,7,2
122,5.42,3,1
102,7.82,5,1
94,7.85,8,2
90,9.43,9,0
95,9.51,9,0
94,7.05,10,2
102,7.93,5,1
102,7.32,2,5
100,9.49,8,3
106,9.12,7,0
117,9.88,4,5
114,5.79,5,5
77,8.94,10,5
61,6.71,10,2
114,5.76,2,4
79,9.4,9,2
96,5.37,6,1
82,9.59,9,2
72,5.44,8,0
108,8.98,1,0
111,6.27,9,5
91,7.12,9,2
61,6.2,4,5
91,7.84,1,3
105,6.77,4,2
77,8.74,6,3
102,4.69,4,0
99,5.03,9,4
108,5.96,4,3
101,7.55,10,2
85,8.75,8,1
117,9.09,2,1
97,6.14,7,2
99,7.42,8,0
86,8.99,6,0
93,6.02,10,0
86,6.61,6,2
97,7.61,8,1
125,6.13,3,4
79,5.06,2,1
75,5.62,9,0
122,8.63,8,2
96,5.4,10,2
89,5.83,5,4
115,6.58,5,1
90,5.08,6,0
127,5.97,6,4
110,9.5,2,0
92,4.87,7,1
132,7.93,3,4
90,6.73,8,0
111,8.37,9,3
104,7.5,3,2
119,5.77,6,1
123,9.69,8,2
100,7.5,6,0
88,8.67,10,4
106,7.22,3,0
89,9.48,4,5
130,9.09,9,3
102,10.08,1,3
94,7.72,4,1
